Post,Count,First Year Used,Last Year Used,category,is_senior,match_rule,reason
Deputy Chief Whip and Lords Commissioner,1,1967,1967,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Joint Parliamentary Secretary (Ministry of Technology),1,1967,1967,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Commonwealth Office),1,1967,1967,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Power),1,1967,1967,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Department of Health and Social Security),1,1970,1970,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Ministry of Public Building and Works),1,1970,1970,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Housing and Local Government) (Sport),1,1970,1970,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Treasurer of Her Majesty's Household and Deputy Chief Whip,1,1970,1970,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Agriculture and Fisheries),1,1972,1972,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Trade and Industry) (Aerospace & Shipping),1,1972,1972,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Trade and Industry) (Industrial Development),1,1972,1972,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Law Officers),1,1974,1974,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Health and Social Security) (Disablement),1,1974,1974,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Prices and Consumer Protection),1,1974,1974,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Defence) (Air),1,1979,1979,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Privy Council Office),1,1990,1990,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Assistant Whip (Law Officers),1,1995,1995,non_senior,False,regex:\bassistant whip\b,Matches a junior/whip/non-senior pattern.
Lords Chief Whip (HM Household),1,1997,1997,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of National Heritage) (Arts),1,1997,1997,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department of National Heritage/Department for Culture, Media and Sport)) (Sport)",1,1997,1997,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Social Security) (Women),1,1997,1997,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Northern Ireland Office) (Environment and Agriculture),1,1997,1997,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Tourism)",1,1998,1998,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Education and Employment) (Employment and Equal Opportunities),1,1998,1998,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Trade and Industry) (Science and Innovation),1,1998,1998,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of National Heritage) (Sport),1,1999,1999,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Lord in Waiting (Whip),1,2001,2001,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Home office),1,2001,2001,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Northern Ireland Office),1,2001,2001,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Women and Equalities) (Jointly with the Ministry of Justice)",1,2001,2001,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Education and Skills) (Early Years and School Standards),1,2001,2001,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Education and Skills) (Skills and Vocational Education),1,2001,2001,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Trade and Industry) (Competition, Consumers and Markets)",1,2001,2001,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Trade and Industry) (Small Business),1,2001,2001,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Home Office) (Criminal Justice System IT),1,2002,2002,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Home Office) (Minister for Prisons and Probation),1,2002,2002,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Constitutional Affairs) (Scotland),1,2003,2003,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Constitutional Affairs) (also in Wales Office),1,2003,2003,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Media and Heritage)",1,2003,2003,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs) (Food, Farming and Sustainable Energy)",1,2003,2003,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs) (Local Environment, Marine and Animal Welfare)",1,2003,2003,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Work and Pensions) (Sure Start, Early Years and Childcare) (also Department for Education and Science)",1,2003,2003,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Health) (Community Care),1,2003,2003,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Trade and Industry) (Employment Relations and Consumer Affairs),1,2003,2003,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Education and Skills) (Children and Families),1,2005,2005,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Education and Skills) (Skills),1,2005,2005,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs) (Farming, Food and Sustainable Energy)",1,2005,2005,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs) (Rural Affairs, Landscape and Biodiversity)",1,2005,2005,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Trade and Industry) (Delivery and Efficiency),1,2005,2005,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Trade and Industry) (Science and Innovation),1,2005,2005,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Trade and Industry) (Women and Equality),1,2005,2005,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Communities and Local Government) (Women and Equality),1,2006,2006,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Education and Skills) (Children, Young People and Families)",1,2006,2006,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs) (Biodiversity, Landscape and Rural Affairs)",1,2006,2006,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Employment Relations & Postal Services),1,2006,2006,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Trade and Industry) (Energy),1,2006,2006,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Business, Enterprise and Regulatory Reform) (Trade and Consumer Affairs) (also Department for International Development)",1,2007,2007,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Sport)",1,2007,2007,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs) (Climate Change, Biodiversity and Waste)",1,2007,2007,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs) (Marine, Landscape and Rural Affairs)",1,2007,2007,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Innovation, Universities and Skills) (Intellectual Property and Quality)",1,2007,2007,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Innovation, Universities and Skills) (Skills)",1,2007,2007,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Work and Pensions) (also in the Department for Communities and Local Government),1,2007,2007,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Health) (Health Services),1,2007,2007,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Home Office) (Security and Counter-terrorism),1,2007,2007,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Regional Affairs) (East Midlands),1,2007,2007,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary(Department for International Development) (Trade Policy) (also Business, Enterprise and Regulatory Reform)",1,2007,2007,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Chief Whip (House of Lords),1,2008,2008,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Government Equalities office) (also in the Ministry of Justice),1,2008,2008,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Business, Enterprise and Regulatory Reform) (Communications, Technology and Broadcasting) (also Department for Culture, Media and Sport)",1,2008,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Business, Enterprise and Regulatory Reform) (Economic and Business) (also HM Treasury)",1,2008,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Communications, Technology, and Broadcasting) (also in the Department for Business, Enterprise and Regulatory Reform)",1,2008,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Culture, Creative Industries and Tourism)",1,2008,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs) (Marine and Natural Environment)",1,2008,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Innovation, Universities and Skills)",1,2008,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Innovation, Universities and Skills) (Further Education)",1,2008,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Innovation, Universities and Skills) (Skills & Apprenticeships)",1,2008,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Energy and Climate Change),1,2008,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Defence) (Defence Equipment and Support),1,2008,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Defence) (International Defence and Security) (also in Foreign and Commonwealth Office),1,2008,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Cabinet Office) (Young Citizens and Youth Engagement),1,2009,2009,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Government Equalities Office),1,2009,2009,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Defence and Security) (also in the Ministry of Defence),1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Business, Innovation and Skills) (Business and Regulatory Reform)",1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Business, Innovation and Skills) (Communications, Technology and Broadcasting) (also the Department for Culture, Media and Sport)",1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Business, Innovation and Skills) (Digital Britain) (also HM Treasury)",1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Children, Schools and Families) (14-19 Reform and Apprenticeships)",1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Children, Schools and Families) (Schools)",1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Communities and Local Government) (also in Department for Work and Pensions),1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Communications, Technology and Broadcasting) (also in the Department for Business, Innovation and Skills)",1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Creative Industries)",1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Culture and Tourism)",1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs) (Rural Affairs and Environment)",1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs) (and Deputy Chief Whip)",1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Europe),1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Home Office) (Identity) (also Lord in Waiting),1,2009,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Business, Innovation and Skills) (Culture, Communications and Creative Industries) (jointly with the Department for Culture, Media and Sport)",1,2010,2010,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Sport and the Olympics)",1,2010,2010,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Transport) (Regional and Local Transport),1,2010,2010,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Work and Pensions) (Welfare Reform),1,2010,2010,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Justice) (Prisons and Probation),1,2010,2010,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Lords Spokesperson (HM Treasury) (Whip),1,2012,2012,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Education) (Jointly with the Department for Business, Innovation and Skills)",1,2012,2012,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Ministry of Justice) (Jointly with the Department for Culture, Media and Sport)",1,2012,2012,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Wales Office) (Jointly as a paid Lord Commissioner of HM Treasury (Whip) - House of Commons),1,2012,2012,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Cabinet Office) (Head of the Number 10 Policy Unit),1,2013,2013,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Communities and Local Government) (Local Government),1,2015,2015,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Internet Safety and Security) (Unpaid)",1,2015,2015,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Health) (NHS Productivity),1,2015,2015,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Home Office) (Countering Extremism),1,2015,2015,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Home Office) (Internet Safety and Security) (Unpaid),1,2015,2015,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Government Whip,1,2019,2019,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs) (jointly with the Department for International Development)",1,2019,2019,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Scotland Office) (jointly with the Northern Ireland Office),1,2019,2019,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for International Trade) (Minister for Equalities),1,2022,2022,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (HM Treasury),1,2023,2023,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
"Captain of the King's Bodyguard of the Yeomen of the Guard (HM Household) (Deputy Chief Whip, House of Lords)",1,2024,2024,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Dominions Office),2,1945,1946,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Board of Trade) (Overseas Trade),2,1947,1947,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Ministry of Pensions and Insurance),2,1960,1961,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Commonwealth Relations Office),2,1961,1962,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Foreign Office),2,1961,1967,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Trade and Industry) (Aerospace),2,1971,1972,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Overseas Development),2,1974,1977,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Foreign and Commonwealth Office) (Overseas Development),2,1979,1982,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of National Heritage),2,1992,1993,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport) (Arts)",2,1997,1998,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Deputy Chief Whip and Treasurer of HM Household,2,2001,2003,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Education and Skills),2,2001,2002,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Education and Skills) (Sure Start, Early Years and Childcare) (also Department for Work and Pensions)",2,2003,2004,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Education and Skills) (Schools),2,2004,2005,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Health) (Care Services),2,2005,2006,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Cabinet Office) (Third Sector),2,2007,2008,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Children, Schools and Families) (Children, Young People and Families)",2,2007,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Children, Schools and Families) (Schools and Learners)",2,2007,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Government Equalities Office),2,2007,2010,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Home Office) (Crime Reduction),2,2007,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Home Office) (Identity),2,2007,2009,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Business, Innovation and Skills)",2,2012,2014,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for International Trade) (Minister for Women),2,2020,2022,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Foreign and Commonwealth Office) (Joint with the Department for International Development),2,2020,2020,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Ministry of Aviation),3,1959,1970,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Ministry of Power),3,1962,1966,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Employment and Productivity),3,1968,1970,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Treasurer of HM Household (Deputy Chief Whip),3,1974,1998,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Privy Council Office),3,1999,2002,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department of Transport, Local Government and Regions)",3,2001,2001,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Ministry of Labour),4,1959,1967,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Economic Affairs),4,1964,1967,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Ministry of Technology),4,1969,1970,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Civil Service Department),4,1970,1974,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Transport) (Roads and Motoring),4,1981,2010,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Defence) (Armed Forces),4,1981,1988,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Duchy of Lancaster Office),4,1992,1995,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Cabinet Office),4,2005,2017,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Business, Innovation and Skills) (Intellectual Property)",4,2010,2014,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Board of Trade),5,1955,1970,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Ministry of Housing and Local Government),5,1955,1970,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Defence) (Air Force),5,1964,1976,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Defence) (Royal Navy),5,1968,1979,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Defence) (Veterans),5,2000,2008,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Energy and Climate Change),5,2009,2015,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
